LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
 - 	544	28.631159	6.933492	5.859912
 - 	545	27.522943	6.500399	5.113362
 - 	546	25.920235	5.772332	4.267985
 - 	547	23.797581	4.801449	3.622770
 - 	548	21.225975	3.659193	3.377694
 - 	549	18.325453	2.417780	3.542306
 - 	550	15.219772	1.141774	3.984999
 - 	551	12.017145	-0.116858	4.537097
 - 	552	8.813662	-1.322280	5.050702
 - 	553	5.701546	-2.454077	5.397361
 - 	554	2.770487	-3.500653	5.462543
 - 	555	0.103331	-4.449483	5.168660
 - 	556	-2.227262	-5.279810	4.504428
 - 	557	-4.158113	-5.962298	3.528592
 - 	558	-5.634289	-6.465873	2.349193
 - 	559	-6.614628	-6.767718	1.104089
 - 	560	-7.086361	-6.861227	-0.044858
 - 	561	-7.080296	-6.759017	-0.921996
 - 	562	-6.674177	-6.492000	-1.374169
 - 	563	-5.980280	-6.107872	-1.324671
 - 	564	-5.123312	-5.671516	-0.811459
 - 	565	-4.217211	-5.266684	0.017485
 - 	566	-3.345497	-4.994941	0.951063
 - 	567	-2.545700	-4.965613	1.779866
 - 	568	-1.796650	-5.272796	2.351757
 - 	569	-1.009140	-5.963753	2.603586
 - 	570	-0.027378	-7.011598	2.565531
 - 	571	1.343370	-8.306925	2.340446
 - 	572	3.274771	-9.676819	2.066360
 - 	573	5.840076	-10.926692	1.874976
 - 	574	8.971437	-11.886990	1.858534
 - 	575	12.481609	-12.444771	2.051342
 - 	576	16.134808	-12.553440	2.425655
 - 	577	19.718952	-12.228137	2.900259
 - 	578	23.081823	-11.534164	3.362093
 - 	579	26.128420	-10.567444	3.698583
 - 	580	28.801838	-9.426493	3.830624
 - 	581	31.069675	-8.185699	3.731682
 - 	582	32.920502	-6.883304	3.425136
 - 	583	34.362617	-5.528265	2.966031
 - 	584	35.420387	-4.118947	2.421831
 - 	585	36.130871	-2.662848	1.863495
 - 	586	36.542427	-1.189531	1.369569
 - 	587	36.712742	0.247083	1.036799
 - 	588	36.704338	1.577456	0.982718
 - 	589	36.578773	2.732780	1.326063
 - 	590	36.391174	3.662006	2.146193
 - 	591	36.185791	4.342094	3.441503
 - 	592	35.993237	4.778138	5.107083
 - 	593	35.828899	4.996152	6.933655
 - 	594	35.690819	5.034722	8.625256
 - 	595	35.557384	4.939872	9.853586
 - 	596	35.390369	4.763449	10.365256
 - 	597	35.149033	4.562448	10.101009
 - 	598	34.811001	4.394957	9.236692
 - 	599	34.383736	4.308037	8.095671
 - 	600	33.892609	4.317347	6.981511
 - 	601	33.348927	4.388568	6.040249
 - 	602	32.717110	4.437681	5.238493
 - 	603	31.904121	4.359123	4.462842
 - 	604	30.785898	4.069170	3.659713
 - 	605	29.262617	3.536944	2.901689
 - 	606	27.308094	2.785348	2.330433
 - 	607	24.976643	1.869439	2.045484
 - 	608	22.364330	0.852934	2.050747
 - 	609	19.560562	-0.205302	2.282794
 - 	610	16.627832	-1.257207	2.655410
 - 	611	13.612293	-2.269699	3.075744
 - 	612	10.561178	-3.227079	3.446175
 - 	613	7.530725	-4.127637	3.670839
 - 	614	4.585876	-4.973338	3.668123
 - 	615	1.797165	-5.757576	3.388371
 - 	616	-0.762812	-6.458452	2.832271
 - 	617	-3.022377	-7.041774	2.060390
 - 	618	-4.914101	-7.471763	1.186405
 - 	619	-6.379944	-7.722795	0.347666
 - 	620	-7.378834	-7.786044	-0.340440
